Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,44910.0,58650.0,66750.0,74800.0,84620.0,93730.0,95370.0,97300.0,98920.0
Albania,9130.0,9630.0,9240.0,9440.0,9930.0,9850.0,9720.0,10290.0,10080.0
Argentina,334590.0,344800.0,348940.0,358180.0,356100.0,362560.0,366370.0,367320.0,365650.0
Armenia,7750.0,8380.0,9360.0,9300.0,9260.0,9260.0,9510.0,9280.0,9360.0
Australia,571220.0,673130.0,670930.0,581890.0,593500.0,594580.0,573390.0,619790.0,615380.0
Austria,82720.0,80790.0,77570.0,78120.0,74350.0,75480.0,75660.0,77830.0,74980.0
Azerbaijan,78990.0,82310.0,83480.0,83030.0,83210.0,82030.0,81890.0,80520.0,80260.0
Bangladesh,155970.0,161700.0,165250.0,168630.0,173510.0,182600.0,183500.0,192420.0,198970.0
Belarus,90310.0,87380.0,88970.0,89610.0,88890.0,84480.0,83590.0,85200.0,88140.0
Belgium,124460.0,112180.0,111590.0,112860.0,106460.0,111520.0,110360.0,108250.0,108750.0
Bolivia,47730.0,47800.0,49130.0,50910.0,51870.0,53400.0,55780.0,56300.0,56870.0
Bosnia and Herzegovina,25960.0,29040.0,27260.0,27050.0,24470.0,24640.0,27200.0,27460.0,27190.0
Botswana,22420.0,27490.0,16490.0,15950.0,14760.0,14400.0,13580.0,17460.0,16120.0
Brazil,986440.0,1004840.0,1042040.0,1070850.0,1105900.0,1082700.0,1051690.0,1064920.0,1032640.0
Bulgaria,57040.0,62840.0,57150.0,52060.0,54660.0,57310.0,54270.0,56450.0,53330.0
Burkina Faso,24810.0,25250.0,25970.0,26990.0,27490.0,28240.0,29650.0,30560.0,30850.0
Cambodia,29060.0,30580.0,30310.0,30600.0,31550.0,33720.0,35390.0,37840.0,37460.0
Cameroon,85500.0,84750.0,84450.0,85650.0,86320.0,87300.0,88300.0,88320.0,89050.0
Canada,674200.0,689760.0,694210.0,705420.0,712310.0,707930.0,695200.0,709370.0,724930.0
Chad,55150.0,57650.0,60510.0,62820.0,65410.0,70560.0,75220.0,77690.0,80680.0
Chile,93170.0,99620.0,101900.0,104980.0,98660.0,104020.0,108150.0,109350.0,109590.0
China,10203820.0,11074550.0,11399830.0,11854530.0,11865310.0,11859290.0,11857180.0,12058050.0,12355240.0
Colombia,164350.0,166910.0,165340.0,172010.0,175230.0,176980.0,180940.0,177470.0,184100.0
Costa Rica,13560.0,14270.0,14230.0,14720.0,14770.0,14630.0,15540.0,15710.0,15810.0
Croatia,26180.0,25890.0,23950.0,22830.0,22100.0,22690.0,22730.0,23400.0,22550.0
Cyprus,9130.0,8880.0,8370.0,7700.0,8080.0,8140.0,8540.0,8680.0,8600.0
Denmark,61800.0,56460.0,51390.0,52940.0,48690.0,46610.0,48330.0,46160.0,45870.0
Dominican Republic,33030.0,33390.0,34160.0,33930.0,34170.0,36520.0,37790.0,37010.0,39060.0
Ecuador,61800.0,62780.0,63970.0,66980.0,67820.0,66420.0,65010.0,64060.0,65680.0
El Salvador,12620.0,12550.0,12700.0,11940.0,12260.0,12700.0,12720.0,11940.0,12350.0
Finland,74120.0,66100.0,60380.0,61120.0,57000.0,53550.0,56260.0,53320.0,54490.0
France,470790.0,453510.0,456320.0,457250.0,424130.0,430140.0,430020.0,432380.0,423350.0
Georgia,12980.0,14380.0,15260.0,16040.0,16630.0,16970.0,17390.0,17190.0,16900.0
Germany,881300.0,852550.0,866670.0,883920.0,843660.0,847460.0,850170.0,832650.0,806090.0
Ghana,29080.0,32400.0,35340.0,38240.0,38820.0,41450.0,41280.0,42920.0,44500.0
Greece,108190.0,105760.0,100600.0,92970.0,89910.0,88180.0,86900.0,86510.0,84750.0
Guatemala,26450.0,27070.0,27780.0,28900.0,30120.0,32990.0,34310.0,33570.0,35400.0
Honduras,18890.0,19920.0,20300.0,20880.0,21120.0,21560.0,21500.0,21300.0,22400.0
Hungary,62090.0,61350.0,57470.0,55130.0,55400.0,58330.0,58960.0,60880.0,60920.0
India,2564130.0,2671200.0,2814000.0,2875980.0,3048790.0,3063650.0,3103110.0,3229920.0,3374990.0
Indonesia,762400.0,822480.0,827220.0,796880.0,845070.0,852000.0,866360.0,912420.0,969580.0
Ireland,65040.0,60650.0,62310.0,61380.0,61540.0,63350.0,65880.0,65250.0,65090.0
Israel,89320.0,89590.0,96710.0,88550.0,87150.0,89510.0,89420.0,91060.0,87830.0
Italy,485460.0,474590.0,456710.0,424930.0,405240.0,416150.0,411450.0,405770.0,399600.0
Japan,1228240.0,1284770.0,1327040.0,1338630.0,1300990.0,1265070.0,1257730.0,1235370.0,1186770.0
Jordan,27430.0,28550.0,32120.0,32420.0,34680.0,34970.0,35070.0,36740.0,35810.0
Kazakhstan,277300.0,294130.0,294140.0,307440.0,258090.0,259340.0,274520.0,283580.0,274220.0
Kenya,64700.0,67080.0,66430.0,68440.0,71370.0,73990.0,79550.0,76750.0,78830.0
Lebanon,25060.0,25760.0,28360.0,28350.0,30310.0,32660.0,33790.0,35600.0,34350.0
Lithuania,20520.0,19980.0,19900.0,19000.0,18550.0,18800.0,18820.0,18730.0,18840.0
Luxembourg,11980.0,11830.0,11580.0,11050.0,10560.0,10050.0,9770.0,9920.0,10220.0
Mali,31800.0,32760.0,33430.0,34620.0,35190.0,36670.0,41040.0,42140.0,43740.0
Malta,2990.0,2980.0,3160.0,2830.0,2840.0,2160.0,1870.0,2010.0,2040.0
Mauritania,11100.0,11220.0,11670.0,11670.0,12150.0,12830.0,13250.0,13920.0,14080.0
Mexico,650160.0,664660.0,659240.0,652690.0,645940.0,670100.0,682910.0,678120.0,679880.0
Moldova,12530.0,12690.0,12450.0,11590.0,12220.0,12470.0,12670.0,12700.0,13180.0
Mongolia,32050.0,35710.0,39140.0,41590.0,44130.0,45710.0,48090.0,50880.0,52620.0
Montenegro,4180.0,4030.0,3790.0,3660.0,3560.0,3650.0,3400.0,3520.0,3800.0
Nepal,37220.0,39020.0,40940.0,41840.0,43860.0,43670.0,47070.0,49580.0,51240.0
Netherlands,202130.0,188890.0,187110.0,186690.0,179380.0,188330.0,188160.0,184550.0,178640.0
New Zealand,79980.0,79400.0,81670.0,81240.0,81740.0,81690.0,80410.0,82060.0,81330.0
Nicaragua,15250.0,16390.0,16760.0,16980.0,17870.0,18840.0,19040.0,18960.0,19070.0
Niger,29670.0,31290.0,33750.0,35580.0,37810.0,39610.0,41330.0,43050.0,45050.0
Pakistan,314470.0,323170.0,326970.0,337420.0,351040.0,365780.0,389400.0,414600.0,431220.0
Panama,15880.0,16970.0,17680.0,18030.0,18630.0,18090.0,18300.0,17900.0,18010.0
Peru,84650.0,88120.0,88380.0,89840.0,93240.0,94880.0,98040.0,96040.0,96280.0
Philippines,161170.0,163300.0,168460.0,179820.0,187640.0,196720.0,209480.0,225870.0,232340.0
Poland,391920.0,387760.0,380780.0,375430.0,362360.0,366250.0,377190.0,390070.0,389650.0
Portugal,67990.0,67110.0,65410.0,63700.0,63320.0,67430.0,66380.0,70950.0,66820.0
Romania,114860.0,119570.0,116870.0,107300.0,106410.0,108090.0,105850.0,108560.0,109010.0
Saudi Arabia,514560.0,534210.0,568100.0,585810.0,629390.0,660370.0,664170.0,656080.0,638120.0
Senegal,24410.0,25490.0,25120.0,26500.0,27140.0,28070.0,29770.0,29750.0,29990.0
Slovenia,19080.0,19020.0,18420.0,17780.0,16230.0,16310.0,17130.0,17310.0,17170.0
South Africa,499720.0,484250.0,503110.0,513020.0,525050.0,501090.0,501550.0,514600.0,513440.0
Spain,349440.0,348820.0,342540.0,316480.0,314950.0,325510.0,315830.0,332170.0,326940.0
Sweden,60070.0,56110.0,53230.0,51530.0,50120.0,50050.0,49520.0,49070.0,46350.0
Tajikistan,8780.0,9060.0,9840.0,10260.0,11700.0,12280.0,13650.0,14200.0,15210.0
Tanzania,75950.0,81790.0,87950.0,93940.0,97650.0,103820.0,104660.0,103330.0,105380.0
Thailand,360560.0,362400.0,383440.0,395710.0,390010.0,392810.0,395180.0,413200.0,416950.0
Tunisia,37960.0,36290.0,37240.0,37120.0,39360.0,40170.0,39730.0,40720.0,41100.0
Turkey,374330.0,396910.0,411020.0,402240.0,427120.0,433850.0,460820.0,502670.0,502520.0
Uganda,42960.0,43710.0,45660.0,46670.0,48380.0,50190.0,52850.0,53950.0,54870.0
Ukraine,369850.0,391160.0,379030.0,368050.0,332020.0,279070.0,290100.0,264100.0,274510.0
United Arab Emirates,208580.0,214630.0,226570.0,237630.0,240020.0,252850.0,259650.0,269820.0,263240.0
United Kingdom,594560.0,551940.0,573410.0,554670.0,513800.0,497740.0,475240.0,461190.0,452080.0
United States,6442580.0,6214430.0,5968740.0,6108670.0,6129040.0,6003650.0,5907270.0,5842800.0,6023620.0
Uruguay,36010.0,37550.0,38420.0,37420.0,36900.0,36660.0,37050.0,36110.0,36160.0
Uzbekistan,238390.0,242350.0,230380.0,232950.0,226090.0,222860.0,230900.0,234920.0,235510.0
Vietnam,258430.0,257880.0,258290.0,268770.0,283000.0,327320.0,341580.0,340420.0,376530.0
Zimbabwe,28080.0,30550.0,30780.0,30860.0,29350.0,31280.0,29120.0,28800.0,31380.0
